,GENE NAME,GENE ID
15763,SRGAP2,ENSG00000266028
15764,SRGAP2B,ENSG00000196369
15765,SRGAP2C,ENSG00000171943
15766,SRGAP3,ENSG00000196220
15767,SRGN,ENSG00000122862
15768,SRI,ENSG00000075142
15769,SRL,ENSG00000185739
15770,SRM,ENSG00000116649
15771,SRMS,ENSG00000125508
15772,SRP9,ENSG00000143742
15773,SRP14,ENSG00000140319
15774,SRP19,ENSG00000153037
15775,SRP54,ENSG00000100883
15776,SRP68,ENSG00000167881
15777,SRP72,ENSG00000174780
15778,SRPK1,ENSG00000096063
15779,SRPK2,ENSG00000135250
15780,SRPK3,ENSG00000184343
15781,SRPRA,ENSG00000182934
15782,SRPRB,ENSG00000144867
15783,SRPX,ENSG00000101955
15784,SRPX2,ENSG00000102359
15785,SRR,ENSG00000167720
15786,SRRD,ENSG00000100104
15787,SRRM1,ENSG00000133226
15788,SRRM2,ENSG00000167978
15789,SRRM3,ENSG00000177679
15790,SRRM4,ENSG00000139767
15791,SRRM5,ENSG00000226763
15792,SRRT,ENSG00000087087
15793,SRSF1,ENSG00000136450
15794,SRSF2,ENSG00000161547
15795,SRSF3,ENSG00000112081
15796,SRSF4,ENSG00000116350
15797,SRSF5,ENSG00000100650
15798,SRSF6,ENSG00000124193
15799,SRSF7,ENSG00000115875
15800,SRSF8,ENSG00000263465
15801,SRSF9,ENSG00000111786
15802,SRSF10,ENSG00000188529
15803,SRSF11,ENSG00000116754
15804,SRSF12,ENSG00000154548
15805,SRXN1,ENSG00000271303
15806,SRY,ENSG00000184895
15807,SS18,ENSG00000141380
15808,SS18L1,ENSG00000184402
15809,SS18L2,ENSG00000008324
15810,SSB,ENSG00000138385
15811,SSBP1,ENSG00000106028
15812,SSBP2,ENSG00000145687
15813,SSBP3,ENSG00000157216
15814,SSBP4,ENSG00000130511
15815,SSC4D,ENSG00000146700
15816,SSC5D,ENSG00000179954
15817,SSH1,ENSG00000084112
15818,SSH2,ENSG00000141298
15819,SSH3,ENSG00000172830
15820,SSMEM1,ENSG00000165120
15821,SSNA1,ENSG00000176101
15822,SSPN,ENSG00000123096
15823,SSR1,ENSG00000124783
15824,SSR2,ENSG00000163479
15825,SSR3,ENSG00000114850
15826,SSR4,ENSG00000180879
15827,SSRP1,ENSG00000149136
15828,SST,ENSG00000157005
15829,SSTR1,ENSG00000139874
15830,SSTR2,ENSG00000180616
15831,SSTR3,ENSG00000278195
15832,SSTR4,ENSG00000132671
15833,SSTR5,ENSG00000162009
15834,SSU72,ENSG00000160075
15835,SSUH2,ENSG00000125046
15836,SSX1,ENSG00000126752
15837,SSX2,ENSG00000241476
15838,SSX2B,ENSG00000268447
15839,SSX2IP,ENSG00000117155
15840,SSX3,ENSG00000165584
15841,SSX4,ENSG00000268009
15842,SSX4B,ENSG00000269791
15843,SSX5,ENSG00000165583
15844,SSX7,ENSG00000187754
15845,ST3GAL1,ENSG00000008513
15846,ST3GAL2,ENSG00000157350
15847,ST3GAL3,ENSG00000126091
15848,ST3GAL4,ENSG00000110080
15849,ST3GAL5,ENSG00000115525
15850,ST3GAL6,ENSG00000064225
15851,ST6GAL1,ENSG00000073849
15852,ST6GAL2,ENSG00000144057
15853,ST6GALNAC1,ENSG00000070526
15854,ST6GALNAC2,ENSG00000070731
15855,ST6GALNAC3,ENSG00000184005
15856,ST6GALNAC4,ENSG00000136840
15857,ST6GALNAC5,ENSG00000117069
15858,ST6GALNAC6,ENSG00000160408
15859,ST7,ENSG00000004866
15860,ST7L,ENSG00000007341
15861,ST8SIA1,ENSG00000111728
15862,ST8SIA2,ENSG00000140557
15863,ST8SIA3,ENSG00000177511
15864,ST8SIA4,ENSG00000113532
15865,ST8SIA5,ENSG00000101638
15866,ST8SIA6,ENSG00000148488
15867,ST13,ENSG00000100380
15868,ST14,ENSG00000149418
15869,ST18,ENSG00000147488
15870,STAB1,ENSG00000010327
15871,STAB2,ENSG00000136011
15872,STAC,ENSG00000144681
15873,STAC2,ENSG00000141750
15874,STAC3,ENSG00000185482
15875,STAG1,ENSG00000118007
15876,STAG2,ENSG00000101972
15877,STAG3,ENSG00000066923
15878,STAM,ENSG00000136738
15879,STAM2,ENSG00000115145
15880,STAMBP,ENSG00000124356
15881,STAMBPL1,ENSG00000138134
15882,STAP1,ENSG00000035720
15883,STAP2,ENSG00000178078
15884,STAR,ENSG00000147465
15885,STARD3,ENSG00000131748
15886,STARD3NL,ENSG00000010270
15887,STARD4,ENSG00000164211
15888,STARD5,ENSG00000172345
15889,STARD6,ENSG00000174448
15890,STARD7,ENSG00000084090
15891,STARD8,ENSG00000130052
15892,STARD9,ENSG00000159433
15893,STARD10,ENSG00000214530
15894,STARD13,ENSG00000133121
15895,STAT1,ENSG00000115415
15896,STAT2,ENSG00000170581
15897,STAT3,ENSG00000168610
15898,STAT4,ENSG00000138378
15899,STAT5A,ENSG00000126561
15900,STAT5B,ENSG00000173757
15901,STAT6,ENSG00000166888
15902,STATH,ENSG00000126549
15903,STAU1,ENSG00000124214
15904,STAU2,ENSG00000040341
15905,STBD1,ENSG00000118804
15906,STC1,ENSG00000159167
15907,STC2,ENSG00000113739
15908,STEAP1,ENSG00000164647
15909,STEAP1B,ENSG00000105889
15910,STEAP2,ENSG00000157214
15911,STEAP3,ENSG00000115107
15912,STEAP4,ENSG00000127954
15913,STEEP1,ENSG00000018610
15914,STH,ENSG00000256762
15915,STIL,ENSG00000123473
15916,STIM1,ENSG00000167323
15917,STIM2,ENSG00000109689
15918,STIMATE,ENSG00000213533
15919,STING1,ENSG00000184584
15920,STIP1,ENSG00000168439
15921,STK3,ENSG00000104375
15922,STK4,ENSG00000101109
15923,STK10,ENSG00000072786
15924,STK11,ENSG00000118046
15925,STK11IP,ENSG00000144589
15926,STK16,ENSG00000115661
15927,STK17A,ENSG00000164543
15928,STK17B,ENSG00000081320
15929,STK19,ENSG00000204344
15930,STK24,ENSG00000102572
15931,STK25,ENSG00000115694
15932,STK26,ENSG00000134602
15933,STK31,ENSG00000196335
15934,STK32A,ENSG00000169302
15935,STK32B,ENSG00000152953
15936,STK32C,ENSG00000165752
15937,STK33,ENSG00000130413
15938,STK35,ENSG00000125834
15939,STK36,ENSG00000163482
15940,STK38,ENSG00000112079
15941,STK38L,ENSG00000211455
15942,STK39,ENSG00000198648
15943,STK40,ENSG00000196182
15944,STKLD1,ENSG00000198870
15945,STMN1,ENSG00000117632
15946,STMN2,ENSG00000104435
15947,STMN3,ENSG00000197457
15948,STMN4,ENSG00000015592
15949,STMND1,ENSG00000230873
15950,STMP1,ENSG00000243317
15951,STN1,ENSG00000107960
15952,STOM,ENSG00000148175
15953,STOML1,ENSG00000067221
15954,STOML2,ENSG00000165283
15955,STOML3,ENSG00000133115
15956,STON1,ENSG00000243244
15957,STON2,ENSG00000140022
15958,STOX1,ENSG00000165730
15959,STOX2,ENSG00000173320
15960,STPG1,ENSG00000001460
15961,STPG2,ENSG00000163116
15962,STPG3,ENSG00000197768
15963,STPG4,ENSG00000239605
15964,STRA6,ENSG00000137868
15965,STRA8,ENSG00000146857
15966,STRADA,ENSG00000266173
15967,STRADB,ENSG00000082146
15968,STRAP,ENSG00000023734
15969,STRBP,ENSG00000165209
15970,STRC,ENSG00000242866
15971,STRIP1,ENSG00000143093
15972,STRIP2,ENSG00000128578
15973,STRIT1,ENSG00000240045
15974,STRN,ENSG00000115808
15975,STRN3,ENSG00000196792
15976,STRN4,ENSG00000090372
15977,STS,ENSG00000101846
15978,STT3A,ENSG00000134910
15979,STT3B,ENSG00000163527
15980,STUB1,ENSG00000103266
15981,STUM,ENSG00000203685
15982,STX1A,ENSG00000106089
15983,STX1B,ENSG00000099365
15984,STX2,ENSG00000111450
